seed,static_extreme_motif_code_index,dynamic_death_motif_code_index,static_extreme_lambda,dynamic_onset_low,dynamic_onset_high,dynamic_onset_midpoint,delta_lambda,absolute_delta_lambda,unique_static_extreme,static_fold_converged,history_control_passed,admissible_for_equality_test,exclusion_reason,agreement_at_1e-3
42,91,91,0.3276298576774112,0.32749999999999996,0.32775,0.32762499999999994,-4.857677411262973e-06,4.857677411262973e-06,True,True,True,True,,True
43,67,67,0.3181779350582095,0.3182499999999999,0.31849999999999995,0.31837499999999996,0.00019706494179044798,0.00019706494179044798,True,True,True,True,,True
44,95,95,0.33864286564797674,0.33924999999999994,0.33949999999999997,0.339375,0.0007321343520232393,0.0007321343520232393,True,True,True,True,,True
45,69,69,0.3172705097335648,0.3172499999999999,0.31749999999999995,0.31737499999999996,0.00010449026643516435,0.00010449026643516435,True,True,True,True,,True
46,22,22,0.3252695123764896,0.32575,0.32599999999999996,0.32587499999999997,0.0006054876235103701,0.0006054876235103701,True,True,True,True,,True
47,79,79,0.3159808536943678,0.31575,0.31599999999999995,0.31587499999999996,-0.0001058536943678301,0.0001058536943678301,True,True,True,True,,True
48,13,13,0.32886087693634014,0.33224999999999993,0.33249999999999996,0.332375,0.0035141230636598353,0.0035141230636598353,False,True,True,False,overlapping first/second static-extreme brackets,False
49,77,77,0.3300489223464897,0.32999999999999996,0.33024999999999993,0.33012499999999995,7.607765351025364e-05,7.607765351025364e-05,True,True,True,True,,True
50,39,39,0.3182166861445663,0.31849999999999995,0.31875,0.31862499999999994,0.00040831385543366183,0.00040831385543366183,True,True,True,True,,True
51,27,27,0.33975303138432306,0.33924999999999994,0.33949999999999997,0.339375,-0.00037803138432307426,0.00037803138432307426,True,True,True,True,,True
52,40,40,0.3250275784193015,0.32499999999999996,0.32524999999999993,0.32512499999999994,9.742158069842022e-05,9.742158069842022e-05,True,True,True,True,,True
53,87,87,0.3219314646160022,0.32175,0.32199999999999995,0.32187499999999997,-5.646461600222752e-05,5.646461600222752e-05,True,True,True,True,,True
54,48,48,0.32511006798646697,0.32499999999999996,0.32524999999999993,0.32512499999999994,1.4932013532975574e-05,1.4932013532975574e-05,True,True,True,True,,True
55,62,62,0.32072732178564106,0.3202499999999999,0.32049999999999995,0.32037499999999997,-0.0003523217856410965,0.0003523217856410965,True,True,True,True,,True
56,77,77,0.31240302410025483,0.31275,0.31299999999999994,0.31287499999999996,0.0004719758997451251,0.0004719758997451251,True,True,True,True,,True
57,89,89,0.3253573729522152,0.32524999999999993,0.32549999999999996,0.32537499999999997,1.762704778479618e-05,1.762704778479618e-05,True,True,True,True,,True
58,21,21,0.33155325396754626,0.33124999999999993,0.33149999999999996,0.331375,-0.00017825396754628242,0.00017825396754628242,True,True,True,True,,True
59,67,67,0.31421170092455813,0.31399999999999995,0.3142499999999999,0.31412499999999993,-8.670092455820289e-05,8.670092455820289e-05,True,True,True,True,,True
60,65,65,0.32758578348981027,0.32749999999999996,0.32775,0.32762499999999994,3.921651018967687e-05,3.921651018967687e-05,True,True,True,True,,True
61,34,34,0.32501848194684607,0.32449999999999996,0.32475,0.32462499999999994,-0.00039348194684613036,0.00039348194684613036,True,True,True,True,,True
